year,category,name,gender,born,age,country
1986,medicine,Stanley Cohen,male,1922-11-17 00:00:00,64,USA
1986,chemistry,John C. Polanyi,male,1929-01-23 00:00:00,57,Germany
1986,chemistry,Yuan T. Lee,male,1936-11-19 00:00:00,50,Taiwan
1986,physics,Heinrich Rohrer,male,1933-06-06 00:00:00,53,Switzerland
1986,physics,Gerd Binnig,male,1947-07-20 00:00:00,39,Germany
1986,physics,Ernst Ruska,male,1906-12-25 00:00:00,80,Germany
1985,physics,Klaus von Klitzing,male,1943-06-28 00:00:00,42,Poland
1985,economics,Franco Modigliani,male,1918-06-18 00:00:00,67,Italy
1985,medicine,Joseph L. Goldstein,male,1940-04-18 00:00:00,45,USA
1985,medicine,Michael S. Brown,male,1941-04-13 00:00:00,44,USA
1985,chemistry,Jerome Karle,male,1918-06-18 00:00:00,67,USA
1985,chemistry,Herbert A. Hauptman,male,1917-02-14 00:00:00,68,USA
1984,medicine,Georges J.F. Kohler,male,1946-04-17 00:00:00,38,Germany
1984,economics,Richard Stone,male,1913-08-30 00:00:00,71,United Kingdom
1984,medicine,Cesar Milstein,male,1927-10-08 00:00:00,57,Argentina
1984,medicine,Niels K. Jerne,male,1911-12-23 00:00:00,73,United Kingdom
1984,chemistry,Bruce Merrifield,male,1921-07-15 00:00:00,63,USA
1984,physics,Simon van der Meer,male,1925-11-24 00:00:00,59,the Netherlands
1984,physics,Carlo Rubbia,male,1934-03-31 00:00:00,50,Italy
