year;category;name;gender;born;age;country
1975;physics;James Rainwater;male;1917;58;USA
1975;physics;Ben R. Mottelson;male;1926;49;USA
1975;physics;Aage N. Bohr;male;1922;53;Denmark
1974;medicine;Albert Claude;male;1898;76;Belgium
1974;economics;Friedrich von Hayek;male;1899;75;Austria
1974;economics;Gunnar Myrdal;male;1898;76;Sweden
1974;medicine;George E. Palade;male;1912;62;Romania
1974;medicine;Christian de Duve;male;1917;57;United Kingdom
1974;chemistry;Paul J. Flory;male;1910;64;USA
1974;physics;Antony Hewish;male;1924;50;United Kingdom
1974;physics;Martin Ryle;male;1918;56;United Kingdom
1973;medicine;Konrad Lorenz;male;1903;70;Austria
1973;medicine;Karl von Frisch;male;1886;68;Austria
1973;economics;Wassily Leontief;male;1906;67;Russia
1973;medicine;Nikolaas Tinbergen;male;1907;66;the Netherlands
1973;chemistry;Geoffrey Wilkinson;male;1921;52;United Kingdom
1973;chemistry;Ernst Otto Fischer;male;1918;55;Germany
1973;physics;Brian D. Josephson;male;1940;33;United Kingdom
1973;physics;Ivar Giaever;male;1929;44;Norway
1973;physics;Leo Esaki;male;1925;48;Japan
1972;economics;Kenneth J. Arrow;male;1921;51;USA
1972;economics;John R. Hicks;male;1904;68;United Kingdom
1972;medicine;Rodney R. Porter;male;1917;55;United Kingdom
1972;medicine;Gerald M. Edelman;male;1929;43;USA
1972;chemistry;William H. Stein;male;1911;61;USA
1972;chemistry;Stanford Moore;male;1913;59;USA
1972;chemistry;Christian Anfinsen;male;1916;56;USA
1972;physics;Robert Schrieffer;male;1931;41;USA
1972;physics;Leon N. Cooper;male;1930;42;USA
1972;physics;John Bardeen;male;1908;64;USA
1971;economics;Simon Kuznets;male;1901;70;Belarus
1971;medicine;Earl W. Sutherland Jr.;male;1915;56;USA
1971;chemistry;Gerhard Herzberg;male;1904;67;Germany
1971;physics;Dennis Gabor;male;1900;71;Hungary
1970;physics;Louis Neel;male;1904;66;France
1970;physics;Hannes Alfven;male;1908;62;Sweden
1970;economics;Paul A. Samuelson;male;1915;55;USA
1970;medicine;Julius Axelrod;male;1912;58;USA
1970;medicine;Ulf von Euler;male;1905;65;Sweden
1970;medicine;Sir Bernard Katz;male;1911;59;Germany
1970;chemistry;Luis Leloir;male;1906;64;France
1969;economics;Jan Tinbergen;male;1903;66;the Netherlands
1969;economics;Ragnar Frisch;male;1895;64;Norway
1969;medicine;Salvador E. Luria;male;1912;57;Italy
1969;medicine;Alfred D. Hershey;male;1908;61;USA
1969;medicine;Max Delbrck;male;1906;63;Germany
1969;chemistry;Odd Hassel;male;1897;64;Norway
1969;chemistry;Derek Barton;male;1918;51;United Kingdom
1969;physics;Murray Gell-Mann;male;1929;40;USA
